"","X","Rk","School","G","TeamW","TeamL","W.L.","SRS","SOS","ConfW","ConfL","HomeW","HomeL","AwayW","AwayL","Tm.","Opp.","FTr","X3PAr","TS.","TRB.","AST.","BLK.","eFG.","TOV.","FT.FGA","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","year"
"3919",3919,206,"NJIT",35,20,15,0.571,-4.17,-4.56,8,6,12,6,8,9,2629,2587,0.332,0.423,0.555,48.8,61.7,7.8,0.52,16,0.245,911,2045,0.445,306,865,0.354,501,679,0.738,330,1214,562,226,93,452,672,2015
"3923",3923,210,"North Carolina Central",32,13,19,0.406,-13,-10.03,7,9,8,5,3,12,2220,2235,0.386,0.319,0.52,51.3,52.1,4.8,0.487,17.2,0.256,779,1805,0.432,200,575,0.348,462,697,0.663,395,1178,406,186,54,444,635,2015
"3928",3928,215,"North Dakota State",33,20,13,0.606,-0.93,-2.99,8,8,12,1,4,11,2271,2129,0.337,0.343,0.533,50.8,42.5,9.3,0.503,14,0.23,817,1837,0.445,214,630,0.34,423,619,0.683,302,1149,347,198,117,348,523,2015
"3929",3929,216,"North Dakota",33,17,16,0.515,-3.68,-4.91,10,8,10,5,4,9,2474,2366,0.395,0.293,0.541,50.3,50.1,7.7,0.508,16,0.269,876,1926,0.455,203,565,0.359,519,761,0.682,293,1209,439,257,90,435,694,2015
"3930",3930,217,"North Florida",34,22,12,0.647,-1.41,-3.92,10,4,14,3,7,9,2865,2704,0.302,0.485,0.607,47.1,55.9,10.4,0.584,14,0.22,1000,2065,0.484,411,1002,0.41,454,624,0.728,293,1168,559,177,172,383,551,2015
"3934",3934,221,"Northern Colorado",31,10,21,0.323,-12.22,-4.01,7,11,7,9,3,10,2292,2482,0.421,0.316,0.553,50.1,41,7.6,0.511,17.1,0.306,780,1726,0.452,203,545,0.372,529,727,0.728,327,1077,320,178,78,427,703,2015
"3937",3937,224,"Northern Kentucky",30,9,21,0.3,-6.87,-0.69,5,13,7,7,2,13,2116,2233,0.317,0.382,0.535,49.1,58.1,7.6,0.507,17,0.216,755,1719,0.439,234,656,0.357,372,545,0.683,281,1033,439,142,88,406,615,2015
"3958",3958,245,"Presbyterian",31,11,20,0.355,-13.38,-4.98,5,13,7,8,3,11,2093,2259,0.353,0.288,0.514,48.4,46.4,5.9,0.475,17.8,0.251,754,1743,0.433,148,502,0.295,437,615,0.711,298,1047,350,206,60,441,595,2015
"3985",3985,272,"Seattle",32,15,17,0.469,-9.62,-5.02,7,7,10,8,3,8,2074,2140,0.353,0.318,0.513,51.8,56.5,4.9,0.481,20,0.235,735,1732,0.424,197,550,0.358,407,612,0.665,365,1174,415,193,51,505,584,2015
"3990",3990,277,"South Carolina Upstate",32,10,22,0.313,-13.78,-4.39,4,10,7,10,3,12,2315,2495,0.308,0.334,0.528,51.1,56.3,8.9,0.506,17,0.197,860,1914,0.449,218,640,0.341,377,590,0.639,413,1228,484,175,106,449,623,2015
