Rk,School,G,TeamW,TeamL,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
240,Saint Francis (PA),28,13,15,0.464,-10.67,-7.7,10,8,10,1,3,13,1873,1956,,,0.385,0.263,0.531,48.9,49.8,,3.7,0.488,17.9,,0.282,1120,654,1490,0.439,145,392,0.37,420,574,0.732,312,879,326,182,57,385,443
241,Saint Joseph's NCAA,32,30,2,0.938,20.03,4.97,16,0,9,0,13,0,2476,1994,,,0.337,0.425,0.586,47.3,60,,6.2,0.561,14.9,,0.237,,866,1822,0.475,313,775,0.404,431,614,0.702,308,1043,520,285,111,370,546
242,Saint Louis,32,19,13,0.594,7.74,5.03,9,7,13,3,4,9,2005,1918,,,0.378,0.347,0.526,47.9,61.7,,3,0.488,17.5,,0.266,,692,1615,0.428,192,561,0.342,429,610,0.703,264,994,427,227,49,404,556
243,Saint Mary's (CA),31,19,12,0.613,8.04,1.79,9,5,10,3,6,7,2377,2082,,,0.433,0.343,0.569,53.5,48.8,,5.5,0.53,19.5,,0.312,1245,807,1733,0.466,222,594,0.374,541,750,0.721,397,1184,394,204,99,507,594
244,Saint Peter's,29,17,12,0.586,-2.43,-2.81,12,6,9,2,6,8,2196,2185,,,0.385,0.412,0.526,47.1,50.7,,5.9,0.487,15.3,,0.27,,730,1764,0.414,259,727,0.356,477,680,0.701,381,1025,370,203,100,377,604
245,Sam Houston State,28,13,15,0.464,-12.48,-6.81,8,8,10,3,3,11,2100,2133,,,0.41,0.293,0.533,48.5,71.9,,6.8,0.494,20,,0.285,1120,737,1650,0.447,155,484,0.32,471,676,0.697,347,1030,530,239,119,493,563
246,Samford,28,12,16,0.429,-8.68,-2.55,7,9,9,3,3,12,1838,1828,,,0.303,0.511,0.61,48.8,71.3,,3.7,0.589,21.4,,0.217,1140,644,1318,0.489,264,673,0.392,286,399,0.717,159,792,459,157,56,410,443
247,San Diego State,30,14,16,0.467,4.92,5.81,5,9,11,4,1,10,2125,2117,,,0.29,0.307,0.507,50.6,53.8,,5,0.476,16,,0.202,,786,1841,0.427,181,565,0.32,372,533,0.698,407,1077,423,246,82,399,559
248,San Diego,30,4,26,0.133,-10.28,2.51,1,13,4,7,0,16,2042,2398,,,0.357,0.321,0.546,48.5,65.5,,2.4,0.518,22.8,,0.241,1200,724,1600,0.453,209,514,0.407,385,571,0.674,265,971,474,186,42,553,532
249,San Francisco,31,17,14,0.548,-1.95,1.85,7,7,10,3,5,9,2016,2102,,,0.332,0.294,0.509,50.6,56,,4.6,0.481,19.9,,0.216,,745,1712,0.435,156,503,0.31,370,569,0.65,375,1038,417,235,73,491,622
